Borehole ID,Date,Na+ (mg/L),K+(mg/L),Mg2+ (mg/L),Ca2+ (mg/L),Cl- (mg/L),SO42- (mg/L),HCO3- (mg/L),PO43- (mg/L),NO3- (mg/L),NO2- (mg/L),Br- (mg/L),F- (mg/L)
BERGBH104,Jun-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH105,Jun-23,85.34,2.50,17.88,10.78,184.25,34.77,6.80,0.18,19.78,NaN,0.51,0.17
BERGBH106,Jun-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH107,Jun-23,238.70,4.29,48.39,27.85,535.96,61.76,15.90,1.84,32.79,NaN,1.62,0.20
BERGBH108,Jun-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH109,Jun-23,82.44,1.48,14.46,6.03,171.71,18.83,6.30,0.10,28.59,NaN,0.52,0.05
KRMSBH101,Jun-23,65.70,0.82,10.34,4.64,130.48,8.47,11.70,NaN,17.04,NaN,0.39,0.05
KRMSBH102,Jun-23,9.95,0.92,3.53,16.61,21.95,3.92,42.20,0.10,0.74,NaN,0.07,0.07
KABH201,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KABH202,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KABH203,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KABH204,Nov-23,249.90,9.29,74.03,125.80,657.75,120.34,174.10,NaN,0.05,NaN,2.14,0.16
HOLBH201,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOLBH202,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOLBH203,Nov-23,65.74,0.62,14.61,17.35,158.77,7.31,18.60,NaN,11.92,NaN,0.48,0.05
HOLBH204,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VERBH201,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VERBH202,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VERBH203,Nov-23,86.75,6.25,20.37,19.28,161.50,52.75,18.40,1.18,50.82,NaN,0.52,0.05
LANGBH201,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LANGBH202,Nov-23,163.50,4.97,31.78,26.68,374.75,34.36,4.30,0.36,65.37,NaN,1.07,0.05
LANGBH203,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH201,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH202,Nov-23,91.57,1.86,19.09,9.32,92.36,7.25,2.80,0.20,6.61,NaN,0.30,0.05
BERGBH203,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH204,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH205,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH206,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH207,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH208,Nov-23,92.08,1.88,19.17,9.45,217.12,16.74,2.40,0.10,21.68,NaN,0.61,0.05
BERGBH209,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KRMSBH201,Nov-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KRMSBH202,Nov-23,69.36,4.49,9.46,23.06,140.97,12.19,31.70,NaN,12.86,NaN,0.44,0.05
BOPBH301,Jan-24,10.68,0.37,2.09,5.10,22.66,0.98,5.00,0.23,10.47,NaN,0.08,0.05
BOPBH302,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KABH301,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KABH302,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KABH303,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KABH304,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KABH305,Jan-24,232.99,8.06,67.61,159.94,865.23,115.06,178.50,NaN,NaN,NaN,2.11,0.17
HOLBH301,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOLBH302,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HOLBH303,Jan-24,50.82,0.58,10.40,21.45,129.24,6.84,16.80,0.10,11.13,NaN,0.38,0.05
HOLBH304,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VERBH301,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VERBH302,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VERBH303,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VERBH304,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VERBH305,Jan-24,65.80,2.76,13.61,10.63,136.65,33.29,7.60,0.10,39.43,NaN,0.41,0.05
LANGBH301,Jan-24,153.82,4.16,36.73,22.78,533.81,17.08,6.00,0.10,18.03,NaN,1.25,0.05
LANGBH302,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LANGBH303,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LANGBH305,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LANGBH306,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH301,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH302,Jan-24,37.97,0.95,5.65,6.36,85.56,5.02,5.00,0.15,7.41,NaN,0.26,0.06
BERGBH303,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH304,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH305,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH306,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH307,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BERGBH308,Jan-24,91.60,2.04,19.08,12.77,224.04,16.48,5.00,0.10,26.54,NaN,0.62,0.07
KRMSBH301,Jan-24,99.58,2.18,15.56,35.60,286.14,25.81,27.10,0.10,16.86,NaN,0.80,0.05
KRMSBH302,Jan-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,,,,,,,,
